observation_id,source_record_id,role,source_column,raw_value,numeric_value,source_status
obs_dd4b5cd980d403f42432,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_24,target,formatted_target_value2,3.00,3.00,numeric
obs_32e1b415b3de5ad2158a,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_24,current,formatted_progress_value2,-5.00,-5.00,numeric
obs_2e1682b6669b86f0e1e0,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_25,previous,formatted_current_value2,CB,,CB
obs_eb3e7da62ec5d60526c1,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_25,target,formatted_target_value2,3.00,3.00,numeric
obs_6c34f60295ec1bb25954,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_25,current,formatted_progress_value2,-5.00,-5.00,numeric
obs_032879ba9628e65b6235,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_26,previous,formatted_current_value2,CB,,CB
obs_52089b79f7986f2377eb,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_26,target,formatted_target_value2,40.00,40.00,numeric
obs_bb876debf70b4ca6138a,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_26,current,formatted_progress_value2,516.00,516.00,numeric
obs_eb644400967ef6f7cb5a,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_27,previous,formatted_current_value2,CB,,CB
obs_2eb52549883cff981756,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_27,target,formatted_target_value2,40.00,40.00,numeric
obs_fddf171b5c2f893ee8ce,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_27,current,formatted_progress_value2,516.00,516.00,numeric
obs_05d9ff463b02871c3a3a,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_28,previous,formatted_current_value2,CB,,CB
obs_45c7a1f60742743fbee3,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_28,target,formatted_target_value2,40.00,40.00,numeric
obs_24a8ecffd29f8eb71a52,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_28,current,formatted_progress_value2,516.00,516.00,numeric
obs_c69d3021779b482e7bb1,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_29,previous,formatted_current_value2,CB,,CB
obs_ddd8ecf694d73d1eb3f3,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_29,target,formatted_target_value2,40.00,40.00,numeric
obs_9d3f8b3602c5414d4856,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_29,current,formatted_progress_value2,516.00,516.00,numeric
obs_cc7db08b7469e6ae7e86,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_30,previous,formatted_current_value2,65.70,65.70,numeric
obs_9cfd70052e4390a82249,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_30,target,formatted_target_value2,66.80,66.80,numeric
obs_bed554a4d76b9822a6ab,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_30,current,formatted_progress_value2,66.00,66.00,numeric
obs_e02ebe988bf1c59a2ba9,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_31,previous,formatted_current_value2,65.70,65.70,numeric
obs_7aba6630df1cba34f2df,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_31,target,formatted_target_value2,66.80,66.80,numeric
obs_7877269294acfd8323eb,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_31,current,formatted_progress_value2,66.00,66.00,numeric
