source_record_id,entity_type,entity_id,parent_id,source_role
file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_804,current_workplan,current_3b9fc26accb1711db8be,current_group_f68511a38484c56e688f,workplan
file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_805,current_workplan,current_fad9fd41ba63cae97484,current_group_f68511a38484c56e688f,workplan
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_730,intervention,intervention_9fd8743fb8f7d3f32eb6,cycle_941400a2d78a35ac3af3,workplan
file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_825,intervention,intervention_a3c969fa311cb74087cf,cycle_efd9aef090817ff2c74a,workplan
file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_870,current_workplan,current_882987ba7b1998b9a344,current_group_b20e42df3360e50821b7,workplan
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_733,intervention,intervention_168480eea597e5fd0620,cycle_d8cff49d1f5f9a3a8808,workplan
file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_829,intervention,intervention_cd92abd30dd2f5c776ed,cycle_5d19b5d7e3289dbbc680,workplan
file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_874,current_workplan,current_4935b72320bfe87134fd,current_group_4d9e7975d11421122dce,workplan
file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_878,current_workplan,current_30e8fc46a615e9695aa3,current_group_a895772c533c4f713c3a,workplan
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_734,intervention,intervention_4f076677e91eb9509b42,cycle_d0aa5d1b3c1a8a004363,workplan
file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_838,intervention,intervention_8fd0efeec17eef2cd6b3,cycle_3e9bd777486a3395b998,workplan
